Voltage (V),Current (A)
10.18,4.223448e-06
10.19,4.234215e-06
10.200000000000001,4.234717e-06
10.21,4.230514e-06
10.22,4.215715e-06
10.23,4.212717e-06
10.24,4.206405e-06
10.25,4.208699e-06
10.26,4.212011e-06
10.27,4.209819e-06
10.28,4.206547e-06
10.290000000000001,4.21534e-06
10.3,4.215588e-06
10.31,4.219529e-06
10.32,4.214996e-06
10.33,4.21642e-06
10.34,4.235267e-06
10.35,4.245446e-06
10.36,4.237244e-06
10.370000000000001,4.248458e-06
10.38,4.241774e-06
10.39,4.251271e-06
10.4,4.248874e-06
10.41,4.261979e-06
10.42,4.263152e-06
10.43,4.269204e-06
10.44,4.248406e-06
10.450000000000001,4.253448e-06
10.46,4.25201e-06
10.47,4.248647e-06
10.48,4.260111e-06
10.49,4.26414e-06
10.5,4.266848e-06
10.51,4.263134e-06
10.52,4.261261e-06
10.53,4.270979e-06
10.540000000000001,4.281796e-06
10.55,4.283474e-06
10.56,4.277979e-06
10.57,4.283569e-06
10.58,4.282211e-06
10.59,4.292592e-06
10.6,4.289003e-06
10.61,4.288634e-06
10.620000000000001,4.297258e-06
10.63,4.298853e-06
10.64,4.305292e-06
10.65,4.295443e-06
10.66,4.291767e-06
10.67,4.294212e-06
10.68,4.301527e-06
10.69,4.304243e-06
10.700000000000001,4.294024e-06
10.71,4.297264e-06
10.72,4.301427e-06
10.73,4.307217e-06
10.74,4.311508e-06
10.75,4.31444e-06
10.76,4.319994e-06
10.77,4.320498e-06
10.78,4.324907e-06
10.790000000000001,4.32595e-06
10.8,4.314605e-06
10.81,4.318767e-06
10.82,4.321986e-06
10.83,4.3321e-06
10.84,4.32196e-06
10.85,4.323389e-06
10.86,4.330215e-06
10.870000000000001,4.331472e-06
10.88,4.336747e-06
10.89,4.337725e-06
10.9,4.34123e-06
10.91,4.339998e-06
10.92,4.343497e-06
10.93,4.34908e-06
10.94,4.344679e-06
10.950000000000001,4.344513e-06
10.96,4.34476e-06
10.97,4.344747e-06
10.98,4.345165e-06
10.99,4.350246e-06
11.0,4.354023e-06
11.01,4.350515e-06
11.02,4.353763e-06
11.03,4.355036e-06
